path,region,scalefactor,terminals,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,avg,p0,p25,p50,p75,p90,p95,p99,p100,time,warmup,throughput,throughput.NewOrder,throughput.Payment,throughput.OrderStatus,throughput.Delivery,throughput.StockLevel
tpcc/yugabyte/tpcc-10-yugabyte-terminals128/1-us-east-1,1-us-east-1,10,128,83.36740449130492,77.008,82.438,83.37,84.365,85.2068,85.6569,86.72382,88.035,29.567696517412934,4.324,11.221499999999999,21.989,35.824,57.06220000000006,76.51719999999997,213.1281600000008,286.481,13.088545454545454,5.625,6.5555,6.963,7.7095,30.311,63.388999999999996,85.74149999999999,88.302,414.15832587859427,7.604,34.365249999999996,96.08250000000001,294.10975,879.768,2157.67425,5939.557,7491.928,7.667311286843997,5.724,7.1335,7.636,8.1275,8.625,8.9345,9.664299999999999,10.287,64.0337746288799,4.324,33.89925,82.6745,83.98675,84.995,85.56535,87.41039000000002,95.496,60,30,196.51,136.35,25.3,11.133333333333333,10.5,13.233333333333333
tpcc/yugabyte/tpcc-10-yugabyte-terminals128/2-eu-west-1,2-eu-west-1,10,128,15.537064843405382,8.912,14.291,15.45,16.715,17.814,18.472199999999997,19.622259999999997,21.622,14.913122842639593,4.279,7.936,13.289,18.847,25.695,30.147199999999998,44.57783999999996,76.998,7.631655172413794,5.797,7.06625,7.683,8.147,8.5661,8.836,9.370029999999995,10.301,53.47542406311637,8.171,31.02825,45.2705,73.5175,94.80550000000001,103.51209999999993,205.31225,273.997,8.321279466966967,5.778,7.434749999999999,8.178,9.117,9.8963,10.3473,11.347109999999997,12.806,13.299717606588136,4.279,8.752,14.188,16.131500000000003,17.73,18.82825,32.24780000000005,40.747,60,30,348.48,198.51666666666668,95.88333333333334,17.633333333333333,17.75,18.7
tpcc/yugabyte/tpcc-10-yugabyte-terminals128/3-ap-northeast-1,3-ap-northeast-1,10,128,16933.049409090905,665.446,916.2065,6879.983,26203.3765,62091.32520000006,64618.8185,64626.625759999995,64628.378,39432.9218,23031.933,41580.952,44134.959,44196.377,44210.7836,44215.5858,44219.42756,44220.388,47006.775,35823.958,44166.34,52508.722,52598.1835,52651.8604,52669.7527,52684.06654,52687.645,,,,,,,,,,43867.809499999996,13440.999,28654.40425,43867.809499999996,59081.21475,68209.2579,71251.93895,73686.08378999999,74294.62,24951.488749999997,665.446,1313.74575,15290.462,44150.313500000004,63404.916100000024,64623.788799999995,71298.08498000001,74294.62,60,30,0.53,0.36666666666666664,0.03333333333333333,0.08333333333333333,0.0,0.05
tpcc/yugabyte/tpcc-100-yugabyte-terminals64/1-us-east-1,1-us-east-1,100,64,82.22431821963396,76.751,81.41675000000001,82.184,83.025,83.70089999999999,84.13,85.21493000000001,90.301,156.08376237623762,4.189,22.36025,55.0505,175.96275,282.3170000000001,466.1523999999999,2357.15445,3778.833,6.125554123711341,5.099,5.87975,6.102,6.3545,6.553,6.779249999999999,7.13175,7.23,41.78932957393484,7.513,24.80525,35.0935,60.02025,73.90500000000002,80.71279999999999,86.04357999999999,129.115,6.943908397932816,5.562,6.522,6.877,7.272,7.726,8.083,8.63422,9.752,121.49838109396386,4.189,6.989,80.85,83.365,356.9234,503.89639999999997,894.6097199999989,2838.649,60,30,355.9,158.36666666666667,155.35,13.7,14.4,14.083333333333334
tpcc/yugabyte/tpcc-100-yugabyte-terminals64/2-eu-west-1,2-eu-west-1,100,64,16.603540950322557,9.489,15.416,16.561,17.739,18.824,19.497399999999995,20.83164,23.068,35.80125699831366,4.724,14.939,28.172,45.823,71.9596,94.73739999999995,146.77552000000009,218.348,7.958128080527594,5.714,7.376,7.9,8.497,8.996,9.32,9.790399999999998,10.437,63.62334372926344,8.697,36.199999999999996,64.6815,94.52324999999999,108.0631,116.73579999999998,124.94817999999997,150.589,8.953064203624576,6.088,8.109,8.78,9.656,10.47,10.973,12.269179999999993,14.465,13.375335270472391,4.724,8.749,13.6965,16.764,18.462,19.753,37.94318999999999,48.884,60,30,1244.97,562.7666666666667,533.9833333333333,49.516666666666666,50.38333333333333,48.333333333333336
tpcc/yugabyte/tpcc-100-yugabyte-terminals64/3-ap-northeast-1,3-ap-northeast-1,100,64,31747.63451063829,239.819,1107.0875,4047.538,64698.247,65221.5556,67579.4347,68204.93452000001,68312.615,54937.6465,44265.37,49601.50825,54937.6465,60273.78475,63475.467699999994,64542.695349999995,65396.47747,65609.923,52749.424,52749.424,52749.424,52749.424,52749.424,52749.424,52749.424,52749.424,52749.424,65009.535,65009.535,65009.535,65009.535,65009.535,65009.535,65009.535,65009.535,65009.535,35691.507647058825,14.14,496.49525000000006,45229.168999999994,55367.447499999995,74032.1266,74050.04535,74055.98765,74056.052,34509.22745882353,14.14,1155.463,44265.37,64681.629,67579.2156,73962.58559999999,74055.8882,74056.052,60,30,1.42,0.7833333333333333,0.5666666666666667,0.03333333333333333,0.016666666666666666,0.016666666666666666
tpcc/yugabyte/tpcc-10-yugabyte-terminals16/1-us-east-1,1-us-east-1,10,16,81.9035195035461,76.022,81.079,81.878,82.759,83.50710000000001,83.8921,84.58591,85.391,12.945678700361011,3.691,8.071,12.364,16.608,20.815,23.955,29.75308000000001,33.964,5.708519999999999,4.823,5.463,5.7,5.939500000000001,6.1537999999999995,6.409600000000001,6.6592199999999995,6.851,47.203353846153846,14.892,17.04225,33.6445,66.3255,80.9011,95.55064999999972,222.22088000000082,295.886,6.700563478260869,5.401,6.2545,6.6475,7.047,7.5111,7.869199999999998,8.38101,9.005,81.40781844249923,3.691,6.7802500000000006,80.271,82.408,142.597,335.29949999999997,526.81875,2813.923,60,30,110.93,52.7,43.68333333333333,4.9,4.733333333333333,4.916666666666667
tpcc/yugabyte/tpcc-10-yugabyte-terminals16/2-eu-west-1,2-eu-west-1,10,16,14.518285546829212,8.852,13.728,14.523,15.345,16.065,16.5125,17.342000000000006,18.54,12.07555451348183,4.497,7.958,11.585,15.124,18.999200000000005,21.521199999999997,25.844200000000008,31.215,6.409003562945369,5.185,6.0794999999999995,6.4135,6.7357499999999995,7.045,7.177349999999999,7.492800000000001,7.728,47.98287068965517,8.166,19.32625,38.230000000000004,64.291,91.1716,92.94324999999999,231.41287999999963,333.351,7.820934115378435,5.954,7.298,7.752,8.256499999999999,8.7608,9.158099999999997,9.88612,10.445,11.790421482226298,4.497,7.7735,13.012,14.742,15.827,16.6147,35.25513999999983,38.76,60,30,309.15,152.03333333333333,115.03333333333333,14.233333333333333,13.583333333333334,14.266666666666667
tpcc/yugabyte/tpcc-10-yugabyte-terminals16/3-ap-northeast-1,3-ap-northeast-1,10,16,23945.261363636364,234.776,667.67325,1108.708,57785.432,66722.4836,66775.48014999999,66872.35927999999,66897.377,65885.986,65885.986,65885.986,65885.986,65885.986,65885.986,65885.986,65885.986,65885.986,,,,,,,,,,65097.911,65097.911,65097.911,65097.911,65097.911,65097.911,65097.911,65097.911,65097.911,41376.9292,228.906,20219.213,55411.569,57004.005,67214.17379999999,70617.56339999998,73340.27507999999,74020.953,29816.010103448272,228.906,667.998,26456.08,64838.579,66734.0074,66849.7242,72026.35171999999,74020.953,60,30,0.48,0.36666666666666664,0.08333333333333333,0.016666666666666666,0.016666666666666666,0.0
tpcc/yugabyte/tpcc-100-yugabyte-terminals512/1-us-east-1,1-us-east-1,100,512,187.78406277407828,77.492,83.91925,85.506,158.60475,494.898,608.3084999999998,948.3819899999977,1663.552,362.12696067415726,5.004,24.959249999999997,74.6575,232.024,490.41,2394.99725,4951.88959,6013.717,7.190704257767549,5.68,6.641,7.072,7.618,8.181199999999999,8.5962,9.341479999999999,11.209,617.5568439849624,7.997,29.871000000000002,68.42599999999999,272.72825,2205.3766,4076.676449999998,6799.838309999996,9859.286,8.293439097479286,5.815,7.161,7.655,8.255,9.0408,9.738999999999995,32.02443999999999,50.495,218.34289326258101,5.004,8.707,84.049,134.435,463.1,638.002,3045.9008999999805,8141.484,60,30,384.97,207.3,123.25,18.0,17.966666666666665,18.45
tpcc/yugabyte/tpcc-100-yugabyte-terminals512/2-eu-west-1,2-eu-west-1,100,512,26.780793347296818,11.904,22.841,25.826,29.765,34.305,37.492,43.54980000000002,47.922,48.066494997825146,5.993,18.63375,37.8885,62.1365,91.9449,122.25424999999998,230.02932999999973,370.269,12.908789380137746,7.673,11.298,12.533,14.106,16.01,17.302,19.361,20.519,98.62066253660736,11.089,46.6685,90.616,138.564,177.53460000000007,206.35499999999988,299.9624799999997,574.39,14.011348977435196,7.409,11.63925,13.415,15.728,18.49,20.439349999999997,24.34827,27.63,22.51499798017294,5.993,14.047,21.837,27.403,33.649,39.52245,65.62977999999985,84.15,60,30,1673.02,858.95,583.75,77.53333333333333,74.36666666666666,78.43333333333334
