Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
84,444,444.000,10225,11644,16818,68485,27252,38749,729232,792750,829141
85,205,205.000,10487,11852,18839,170420,30379,983828,1011915,1028685,1039004
86,694,694.000,10267,11777,17998,58880,26077,35518,45665,943827,1023062
87,857,857.000,10286,11930,18256,49500,28173,38519,49201,852810,1023933
88,401,401.000,10062,11822,17530,24625,26826,35632,47450,80875,703175
89,387,387.000,10214,11908,17491,83773,28432,42453,799990,856697,867003
90,1038,1038.000,10119,11693,17883,47148,26707,39046,116209,855633,932395
91,612,612.000,10195,12084,18952,60751,27355,38028,48643,900217,971081
92,267,267.000,10357,11383,16941,114129,27138,790656,939986,1015626,1017435
93,236,236.000,10351,11307,16933,50431,27980,49011,80587,915843,1023660
94,177,177.000,10276,11201,14923,178909,30294,939411,961788,1008721,1012983
95,752,752.000,10349,11671,17896,49179,27035,37784,48069,739607,1612239
96,148,148.000,10327,11206,16490,218883,33365,988392,1022296,1038216,1045935
97,386,386.000,10394,11780,18477,99160,29327,47219,953778,1019183,1035962
98,484,484.000,10346,12188,19260,81853,28085,43031,902604,992093,1019615
99,469,469.000,10425,11743,17291,75667,27967,40441,894733,1008077,1028929
100,281,281.000,10059,11789,16773,33426,24780,32692,44040,844258,913788
101,339,339.000,10180,11079,15272,92056,25400,70885,832899,904127,930235
102,286,286.000,10306,11589,18282,142856,29030,880122,962074,1923612,1990375
103,221,221.000,10301,10992,16139,119124,31903,704329,787936,970915,1042183
104,675,675.000,10233,11697,17477,71657,27219,52301,285576,991119,1042706
105,264,264.000,10141,11039,16660,137966,27840,915294,970261,1015591,1767312
106,158,158.000,10158,11175,17085,150118,28519,718653,749045,788630,795699
107,655,655.000,10226,11695,17785,57480,26841,36226,49905,857071,954153
108,436,436.000,10300,11934,18916,81748,27094,39586,920249,1012039,1034683
109,135,135.000,10290,11152,13702,117671,22497,863380,961244,999017,1001167
110,300,300.000,10315,11473,15253,76471,25505,41856,800381,865002,913894
111,1549,1549.000,10686,12299,18919,20708,26785,33734,39503,48505,66594
112,506,506.000,10080,11678,18384,63199,27631,39486,657034,757455,803431
113,298,298.000,10080,11520,16403,107938,27938,768901,876527,935861,978722
114,1337,1337.000,10057,11977,18488,42500,27195,37308,46323,952937,1020499
115,329,329.000,10239,11839,18055,44353,27118,37226,41941,1007160,1032802
116,289,289.000,10041,11143,14524,84679,23537,43386,813635,923236,948035
117,293,293.000,10134,11118,15362,114725,25012,828417,918765,1008146,1029152
118,673,673.000,10300,12155,19403,65686,28046,43473,94930,1012521,1037859
119,516,516.000,10254,11774,16384,19458,24974,32095,36673,52876,61827
