Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683657544.809783,1014883,4,1
1,ReadModifyWrite,1683657544.810073,1024873,10,1
1,ReadModifyWrite,1683657544.811668,1016068,16,1
1,ReadModifyWrite,1683657544.812849,2957277,25,1
1,ReadModifyWrite,1683657544.813485,3036073,18,1
1,ReadModifyWrite,1683657544.814564,2024128,23,1
1,ReadModifyWrite,1683657544.814665,1004352,9,1
1,ReadModifyWrite,1683657544.814681,6050375,11,1
1,ReadModifyWrite,1683657545.811100,2044233,22,1
1,ReadModifyWrite,1683657545.813040,4041387,17,1
1,ReadModifyWrite,1683657545.817066,5039571,3,1
1,ReadModifyWrite,1683657545.817334,16952,29,1
1,ReadModifyWrite,1683657545.818219,11854,7,1
1,ReadModifyWrite,1683657545.818628,8073361,1,1
1,ReadModifyWrite,1683657545.819042,5043975,9,1
1,ReadModifyWrite,1683657545.819408,5045382,5,1
1,ReadModifyWrite,1683657545.820973,2009556,2,1
1,ReadModifyWrite,1683657545.821742,8095819,20,1
1,ReadModifyWrite,1683657545.824679,8075922,4,1
1,ReadModifyWrite,1683657545.826140,3030164,28,1
1,ReadModifyWrite,1683657545.827236,4031592,24,1
1,ReadModifyWrite,1683657545.827751,8091957,16,1
1,ReadModifyWrite,1683657545.828388,8096832,14,1
1,ReadModifyWrite,1683657545.830139,5560,7,1
1,ReadModifyWrite,1683657545.834328,3017788,29,1
1,ReadModifyWrite,1683657545.834979,3019016,10,1
1,ReadModifyWrite,1683657545.835720,7052169,7,1
1,ReadModifyWrite,1683657545.836409,5025642,15,1
1,ReadModifyWrite,1683657546.838717,7064280,23,1
1,ReadModifyWrite,1683657546.839006,5026542,30,1
1,ReadModifyWrite,1683657546.843921,7080122,8,1
1,ReadModifyWrite,1683657547.770152,2093531,25,1
1,ReadModifyWrite,1683657547.771888,89281,27,1
1,ReadModifyWrite,1683657547.773331,4090357,19,1
1,ReadModifyWrite,1683657547.774753,12136,0,1
1,ReadModifyWrite,1683657547.786911,6136415,0,1
1,ReadModifyWrite,1683657547.830563,6099265,2,1
1,ReadModifyWrite,1683657547.849581,1011711,18,1
1,ReadModifyWrite,1683657547.855379,1002068,22,1
1,ReadModifyWrite,1683657547.856168,2005634,31,1
1,ReadModifyWrite,1683657547.861185,1001647,27,1
1,ReadModifyWrite,1683657548.852154,5049657,29,1
1,ReadModifyWrite,1683657548.854013,2036588,10,1
1,ReadModifyWrite,1683657548.856318,5082437,28,1
1,ReadModifyWrite,1683657548.857479,5038147,22,1
1,ReadModifyWrite,1683657548.861305,5034952,18,1
1,ReadModifyWrite,1683657548.862890,6080435,27,1
1,ReadModifyWrite,1683657549.854477,4047729,17,1
1,ReadModifyWrite,1683657549.856154,4060704,6,1
1,ReadModifyWrite,1683657549.858842,2027367,24,1
1,ReadModifyWrite,1683657549.861817,4052268,31,1
1,ReadModifyWrite,1683657549.863697,4032789,25,1
1,ReadModifyWrite,1683657550.854831,3035517,13,1
1,ReadModifyWrite,1683657550.856659,3082341,3,1
1,ReadModifyWrite,1683657550.862071,3054258,15,1
1,ReadModifyWrite,1683657550.863030,3077774,9,1
1,ReadModifyWrite,1683657550.864805,3044861,5,1
1,ReadModifyWrite,1683657550.865069,3052017,11,1
1,ReadModifyWrite,1683657550.890619,4846,10,1
1,ReadModifyWrite,1683657550.895478,3046167,10,1
1,ReadModifyWrite,1683657551.863711,2037970,19,1
1,ReadModifyWrite,1683657551.865570,2073487,30,1
1,ReadModifyWrite,1683657551.867606,2053203,26,1
1,ReadModifyWrite,1683657551.868016,2073737,12,1
1,ReadModifyWrite,1683657551.868358,2048775,21,1
1,ReadModifyWrite,1683657551.886234,2054553,24,1
1,ReadModifyWrite,1683657552.887914,2046837,7,1
1,ReadModifyWrite,1683657553.890373,1046281,13,1
1,ReadModifyWrite,1683657553.892007,42023,1,1
1,ReadModifyWrite,1683657553.895642,44983,22,1
1,ReadModifyWrite,1683657553.896269,32854,18,1
1,ReadModifyWrite,1683657553.896500,37575,25,1
1,ReadModifyWrite,1683657553.900681,1044312,4,1
1,ReadModifyWrite,1683657553.901695,31509,19,1
1,ReadModifyWrite,1683657553.901825,36217,29,1
1,ReadModifyWrite,1683657553.902262,1038461,17,1
1,ReadModifyWrite,1683657553.903009,36246,23,1
1,ReadModifyWrite,1683657553.909679,4087227,5,1
1,ReadModifyWrite,1683657553.914096,1029992,31,1
1,ReadModifyWrite,1683657553.916341,2036193,15,1
1,ReadModifyWrite,1683657553.916872,5955,6,1
1,ReadModifyWrite,1683657553.917109,24830,11,1
1,ReadModifyWrite,1683657553.917146,2039799,21,1
1,ReadModifyWrite,1683657553.917573,22365,20,1
1,ReadModifyWrite,1683657553.919721,1026187,16,1
1,ReadModifyWrite,1683657553.920823,4076033,26,1
1,ReadModifyWrite,1683657553.922853,19041,6,1
1,ReadModifyWrite,1683657553.923340,1019566,0,1
1,ReadModifyWrite,1683657553.924056,4042746,8,1
1,ReadModifyWrite,1683657553.925232,2031641,14,1
1,ReadModifyWrite,1683657553.929139,3028259,18,1
1,ReadModifyWrite,1683657553.929839,1012544,2,1
1,ReadModifyWrite,1683657553.933214,1008241,19,1
1,ReadModifyWrite,1683657553.934044,4084788,1,1
1,ReadModifyWrite,1683657553.934086,1005417,25,1
1,ReadModifyWrite,1683657553.938058,4076249,29,1
1,ReadModifyWrite,1683657553.938771,3020791,28,1
1,ReadModifyWrite,1683657553.939014,1011322,3,1
1,ReadModifyWrite,1683657553.939068,2010106,30,1
1,ReadModifyWrite,1683657553.939277,1001800,23,1
1,ReadModifyWrite,1683657553.939951,2016065,20,1
1,ReadModifyWrite,1683657553.940639,2011209,22,1
1,ReadModifyWrite,1683657553.940803,2020597,24,1
1,ReadModifyWrite,1683657553.940818,2017400,9,1
1,ReadModifyWrite,1683657553.941657,2033633,10,1
1,ReadModifyWrite,1683657553.941767,4064597,12,1
1,ReadModifyWrite,1683657553.941906,5072090,6,1
1,ReadModifyWrite,1683657553.941952,3010200,11,1
1,ReadModifyWrite,1683657554.934773,3065740,7,1
1,ReadModifyWrite,1683657554.936670,4074861,13,1
1,ReadModifyWrite,1683657554.939521,1016586,25,1
1,ReadModifyWrite,1683657554.940740,3055391,17,1
1,ReadModifyWrite,1683657554.941090,6094106,23,1
1,ReadModifyWrite,1683657554.941471,1033179,19,1
1,ReadModifyWrite,1683657554.942398,1010595,2,1
1,ReadModifyWrite,1683657554.942919,1023156,0,1
1,ReadModifyWrite,1683657554.943361,2011704,27,1
1,ReadModifyWrite,1683657554.944102,1013137,31,1
1,ReadModifyWrite,1683657554.945008,1011563,4,1
1,ReadModifyWrite,1683657554.945919,4051509,16,1
1,ReadModifyWrite,1683657554.950348,2004394,3,1
1,ReadModifyWrite,1683657555.949255,6312,30,1
1,ReadModifyWrite,1683657555.951874,2059228,22,1
