Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
82,1343,1343.000,5598,17765,24070,23916,30244,36896,41097,49407,70238
83,1327,1327.000,5034,17544,24023,24000,30629,37691,41634,52605,67504
84,1324,1324.000,4947,17897,24306,24452,30504,37285,42801,58680,99425
85,1293,1293.000,4538,17720,24041,24636,30592,38243,45459,67163,92878
86,1400,1400.000,5399,16293,23429,22817,28914,34982,38953,48016,61967
87,1251,1251.000,4201,17268,24119,25489,29797,38359,51661,87375,138834
88,1342,1342.000,5647,17967,23980,23786,29537,35854,40944,53455,66063
89,1320,1320.000,5296,18339,24225,24325,30349,37475,42130,53005,84114
90,1345,1345.000,5401,17764,23614,23778,29378,36594,41645,54100,88646
91,1377,1377.000,5515,17791,23673,23320,29116,34780,39144,47568,64448
92,1328,1328.000,5538,18483,24207,23995,29783,36331,40736,50104,62975
93,1365,1365.000,5411,17642,23718,23388,29117,35702,40145,51855,67207
94,1315,1315.000,5106,17955,24237,24707,30008,38133,45616,73982,104427
95,1299,1299.000,4903,19040,24635,24348,30099,35924,40765,53467,81000
96,1322,1322.000,5400,18101,24320,24139,30643,36997,41679,50682,65819
97,1262,1262.000,4945,18443,24521,25961,30862,40839,51125,78110,97565
98,1298,1298.000,4792,17977,23993,24104,29980,37545,41529,55878,84851
99,1295,1295.000,5236,19423,24954,24671,30246,36320,41166,51264,69247
100,1328,1328.000,5857,17841,24150,24155,30405,36565,41968,51626,66317
101,1320,1320.000,5554,17002,24015,24265,31677,37681,42144,53304,74019
102,1339,1339.000,5694,17890,24144,23774,29604,35680,40405,48179,67481
103,1324,1324.000,5400,18626,24475,24182,30071,35991,40912,52672,91412
104,1245,1245.000,4639,18614,25357,25679,31612,38548,44709,76103,94789
105,1311,1311.000,5675,18604,24152,24466,30755,37631,42383,50680,68139
106,1352,1352.000,5508,18256,24205,23729,29851,35113,39150,46162,70199
107,1283,1283.000,5904,18387,24157,24733,29467,36089,40867,77005,98398
